ZCTA,FIPS,STATE_ABBR,STATE_NAME,Region
01001,25,MA,Massachusetts,Northeast
01002,25,MA,Massachusetts,Northeast
01003,25,MA,Massachusetts,Northeast
01005,25,MA,Massachusetts,Northeast
01007,25,MA,Massachusetts,Northeast
01008,25,MA,Massachusetts,Northeast
01009,25,MA,Massachusetts,Northeast
01010,25,MA,Massachusetts,Northeast
01011,25,MA,Massachusetts,Northeast
01012,25,MA,Massachusetts,Northeast
01013,25,MA,Massachusetts,Northeast
01020,25,MA,Massachusetts,Northeast
01022,25,MA,Massachusetts,Northeast
01026,25,MA,Massachusetts,Northeast
01027,25,MA,Massachusetts,Northeast
01028,25,MA,Massachusetts,Northeast
01029,25,MA,Massachusetts,Northeast
01030,25,MA,Massachusetts,Northeast
01031,25,MA,Massachusetts,Northeast
01032,25,MA,Massachusetts,Northeast
01033,25,MA,Massachusetts,Northeast
01034,25,MA,Massachusetts,Northeast
01035,25,MA,Massachusetts,Northeast
01036,25,MA,Massachusetts,Northeast
01037,25,MA,Massachusetts,Northeast
01038,25,MA,Massachusetts,Northeast
01039,25,MA,Massachusetts,Northeast
01040,25,MA,Massachusetts,Northeast
01050,25,MA,Massachusetts,Northeast
01053,25,MA,Massachusetts,Northeast
01054,25,MA,Massachusetts,Northeast
01056,25,MA,Massachusetts,Northeast
01057,25,MA,Massachusetts,Northeast
01060,25,MA,Massachusetts,Northeast
01062,25,MA,Massachusetts,Northeast
01063,25,MA,Massachusetts,Northeast
01066,25,MA,Massachusetts,Northeast
01068,25,MA,Massachusetts,Northeast
01069,25,MA,Massachusetts,Northeast
01070,25,MA,Massachusetts,Northeast
01071,25,MA,Massachusetts,Northeast
01072,25,MA,Massachusetts,Northeast
01073,25,MA,Massachusetts,Northeast
01074,25,MA,Massachusetts,Northeast
01075,25,MA,Massachusetts,Northeast
01077,25,MA,Massachusetts,Northeast
01079,25,MA,Massachusetts,Northeast
01080,25,MA,Massachusetts,Northeast
01081,25,MA,Massachusetts,Northeast
01082,25,MA,Massachusetts,Northeast
01083,25,MA,Massachusetts,Northeast
01084,25,MA,Massachusetts,Northeast
01085,25,MA,Massachusetts,Northeast
01086,25,MA,Massachusetts,Northeast
01088,25,MA,Massachusetts,Northeast
01089,25,MA,Massachusetts,Northeast
01092,25,MA,Massachusetts,Northeast
01093,25,MA,Massachusetts,Northeast
01094,25,MA,Massachusetts,Northeast
01095,25,MA,Massachusetts,Northeast
01096,25,MA,Massachusetts,Northeast
01097,25,MA,Massachusetts,Northeast
01098,25,MA,Massachusetts,Northeast
01103,25,MA,Massachusetts,Northeast
01104,25,MA,Massachusetts,Northeast
01105,25,MA,Massachusetts,Northeast
01106,25,MA,Massachusetts,Northeast
01107,25,MA,Massachusetts,Northeast
01108,25,MA,Massachusetts,Northeast
01109,25,MA,Massachusetts,Northeast
01118,25,MA,Massachusetts,Northeast
01119,25,MA,Massachusetts,Northeast
01128,25,MA,Massachusetts,Northeast
01129,25,MA,Massachusetts,Northeast
01151,25,MA,Massachusetts,Northeast
01199,25,MA,Massachusetts,Northeast
01201,25,MA,Massachusetts,Northeast
01220,25,MA,Massachusetts,Northeast
01222,25,MA,Massachusetts,Northeast
01223,25,MA,Massachusetts,Northeast
01224,25,MA,Massachusetts,Northeast
01225,25,MA,Massachusetts,Northeast
